Date,Product Category,Unit Cost,Unit Price,Quantity,Cost,Revenue,Profit
2/6/2015,Bikes,690.33,806.67,3,"2,071.00","2,420.00",349
2/6/2015,Bikes,"2,443.00",0,1,"2,443.00","2,185.00",-258
2/6/2015,Bikes,783,682,0,783,0,-101
2/8/2015,Bikes,"1,000.00",856,1,"1,000.00",856,-144
2/8/2015,Bikes,261,174.67,3,783,524,-259
2/8/2015,Bikes,500,676.5,2,"1,000.00","1,353.00",353
2/8/2015,Bikes,690.33,793.33,3,"2,071.00","2,380.00",309
2/8/2015,Bikes,"1,221.50","1,318.50",2,"2,443.00","2,637.00",194
2/9/2015,Bikes,783,787,1,783,787,4
2/9/2015,Bikes,"2,049.00","1,227.00",1,"2,049.00","1,227.00",-822
2/9/2015,Bikes,"2,071.00","2,188.00",1,"2,071.00","2,188.00",117
2/9/2015,Bikes,"1,024.50","1,049.00",2,"2,049.00","2,098.00",49
2/9/2015,Bikes,"1,024.50","1,018.00",2,"2,049.00","2,036.00",-13
2/10/2015,Bikes,"2,071.00","1,958.00",1,"2,071.00","1,958.00",-113
2/11/2015,Bikes,690.33,626.33,3,"2,071.00","1,879.00",-192
2/13/2015,Bikes,"2,049.00","2,317.00",1,"2,049.00","2,317.00",268
2/13/2015,Bikes,"1,221.50","1,414.00",2,"2,443.00","2,828.00",385
2/13/2015,Bikes,814.33,770.67,3,"2,443.00","2,312.00",-131
2/14/2015,Bikes,333.33,301,3,"1,000.00",903,-97
NaN,Bikes,727.33,816.67,3,"2,182.00","2,450.00",268
2/14/2015,Bikes,"1,091.00","1,225.00",2,"2,182.00","2,450.00",268
2/14/2015,Bikes,"2,182.00","1,850.00",1,"2,182.00","1,850.00",-332
2/16/2015,Bikes,690.33,752.33,3,"2,071.00","2,257.00",186
2/16/2015,Bikes,"1,024.50",885.5,2,"2,049.00","1,771.00",-278
2/17/2015,NaN,"1,024.50",962.5,2,"2,049.00","1,925.00",-124
2/17/2015,Bikes,"2,049.00","2,360.00",1,"2,049.00","2,360.00",311
2/18/2015,Bikes,"2,182.00","2,210.00",1,"2,182.00","2,210.00",28
2/18/2015,Bikes,690.33,681,3,"2,071.00","2,043.00",-28
2/18/2015,Bikes,814.33,891.33,3,"2,443.00","2,674.00",231
2/18/2015,Bikes,783,806,1,783,806,23
2/19/2015,Bikes,"1,024.50",887,2,"2,049.00","1,774.00",-275
2/19/2015,Bikes,"2,071.00","1,699.00",1,"2,071.00","1,699.00",-372
2/19/2015,Bikes,"1,000.00",906,1,"1,000.00",906,-94
2/19/2015,Bikes,"1,091.00","1,343.50",2,"2,182.00","2,687.00",505
2/20/2015,Bikes,683,668.67,3,"2,049.00","2,006.00",-43
2/20/2015,Bikes,391.5,311.5,2,783,623,-160
2/20/2015,Bikes,261,230.67,3,783,692,-91
2/21/2015,Bikes,"1,024.50",915,2,"2,049.00","1,830.00",-219
2/21/2015,Bikes,"1,035.50","1,077.50",2,"2,071.00","2,155.00",84
2/21/2015,Bikes,391.5,360,2,783,720,-63
2/22/2015,Bikes,261,307,3,783,921,138
2/22/2015,Bikes,"2,071.00","2,274.00",1,"2,071.00","2,274.00",203
2/24/2015,Bikes,"1,035.50","1,171.50",2,"2,071.00","2,343.00",272
2/24/2015,Bikes,683,809.67,3,"2,049.00","2,429.00",380
2/24/2015,Bikes,333.33,302.33,3,"1,000.00",907,-93
2/25/2015,Bikes,814.33,959.67,3,"2,443.00","2,879.00",436
2/25/2015,Bikes,333.33,329.67,3,"1,000.00",989,-11
2/26/2015,Bikes,"1,221.50","1,046.50",2,"2,443.00","2,093.00",-350
2/28/2015,Bikes,391.5,383.5,2,783,767,-16
2/28/2015,Bikes,391.5,442,2,783,884,101
3/1/2015,Bikes,261,216,3,783,648,-135
3/1/2015,Bikes,261,243,3,783,729,-54
3/1/2015,Bikes,783,713,1,783,713,-70
3/2/2015,NaN,"1,035.50",992.5,2,"2,071.00","1,985.00",-86
3/2/2015,Bikes,"2,182.00","2,009.00",1,"2,182.00","2,009.00",-173
3/3/2015,Bikes,690.33,680,3,"2,071.00","2,040.00",-31
3/4/2015,Bikes,"2,443.00","2,312.00",1,"2,443.00","2,312.00",-131
3/5/2015,Bikes,727.33,926.33,3,"2,182.00","2,779.00",597
3/5/2015,Bikes,"2,071.00","2,351.00",1,"2,071.00","2,351.00",280
3/5/2015,Bikes,"2,049.00","2,086.00",1,"2,049.00","2,086.00",37
3/6/2015,Bikes,"2,443.00","2,499.00",1,"2,443.00","2,499.00",56
3/6/2015,Bikes,"1,000.00",932,1,"1,000.00",932,-68
3/6/2015,Bikes,391.5,379,2,783,758,-25
3/7/2015,Bikes,500,461,2,"1,000.00",922,-78
3/7/2015,Bikes,"2,071.00","2,417.00",1,"2,071.00","2,417.00",346
3/7/2015,Bikes,391.5,352,2,783,704,-79
3/8/2015,Bikes,"2,182.00","1,377.00",1,"2,182.00","1,377.00",-805
3/8/2015,Bikes,"2,049.00","2,187.00",1,"2,049.00","2,187.00",138
3/8/2015,Bikes,"2,071.00","2,330.00",1,"2,071.00","2,330.00",259
NaN,Bikes,261,271,3,783,813,30
3/10/2015,Bikes,690.33,588,3,"2,071.00","1,764.00",-307
3/11/2015,Bikes,391.5,432,2,783,864,81
3/11/2015,Bikes,683,734.33,3,"2,049.00","2,203.00",154
3/12/2015,Bikes,"1,091.00","1,313.00",2,"2,182.00","2,626.00",444
3/12/2015,Bikes,"1,024.50",997.5,2,"2,049.00","1,995.00",-54
3/12/2015,Bikes,690.33,603.33,3,"2,071.00","1,810.00",-261
3/12/2015,Bikes,814.33,735.33,3,"2,443.00","2,206.00",-237
3/13/2015,Bikes,"2,049.00","1,583.00",1,"2,049.00","1,583.00",-466
3/14/2015,Bikes,683,543.33,3,"2,049.00","1,630.00",-419
3/15/2015,Bikes,"1,035.50",974,2,"2,071.00","1,948.00",-123
3/16/2015,Bikes,727.33,572.67,3,"2,182.00","1,718.00",-464
3/16/2015,Bikes,"2,049.00","1,903.00",1,"2,049.00","1,903.00",-146
3/16/2015,Bikes,500,441.5,2,"1,000.00",883,-117
3/17/2015,Bikes,"2,049.00","2,465.00",1,"2,049.00","2,465.00",416
3/18/2015,Bikes,"1,091.00","1,410.00",2,"2,182.00","2,820.00",638
3/18/2015,Bikes,"1,091.00",681.5,2,"2,182.00","1,363.00",-819
3/18/2015,Bikes,"2,443.00","1,914.00",1,"2,443.00","1,914.00",-529
3/18/2015,Bikes,333.33,270,3,"1,000.00",810,-190
3/18/2015,Bikes,"1,035.50","1,134.50",2,"2,071.00","2,269.00",198
3/18/2015,Bikes,"2,182.00","2,053.00",1,"2,182.00","2,053.00",-129
3/18/2015,Bikes,"1,091.00",949.5,2,"2,182.00","1,899.00",-283
3/19/2015,Bikes,"2,443.00","2,414.00",1,"2,443.00","2,414.00",-29
3/19/2015,Bikes,690.33,669,3,"2,071.00","2,007.00",-64
3/19/2015,Bikes,"1,035.50",945,2,"2,071.00","1,890.00",-181
3/20/2015,Bikes,"2,049.00","1,307.00",1,"2,049.00","1,307.00",-742
3/20/2015,Bikes,783,694,1,783,694,-89
3/21/2015,Bikes,333.33,280,3,"1,000.00",840,-160
3/22/2015,Bikes,"2,049.00","1,487.00",1,"2,049.00","1,487.00",-562
3/22/2015,Bikes,"2,071.00","2,481.00",1,"2,071.00","2,481.00",410
3/22/2015,Bikes,333.33,319.33,3,"1,000.00",958,-42
3/23/2015,Bikes,"2,049.00","2,271.00",1,"2,049.00","2,271.00",222
3/24/2015,Bikes,333.33,283.67,3,"1,000.00",851,-149
3/24/2015,Bikes,"1,091.00","1,066.50",2,"2,182.00","2,133.00",-49
3/25/2015,Bikes,814.33,828.33,3,"2,443.00","2,485.00",42
3/26/2015,Bikes,"1,024.50","1,070.50",2,"2,049.00","2,141.00",92
3/28/2015,Bikes,"1,024.50","1,265.50",2,"2,049.00","2,531.00",482
3/29/2015,Bikes,261,242,3,783,726,-57
3/30/2015,Bikes,"1,091.00",827.5,2,"2,182.00","1,655.00",-527
3/30/2015,Bikes,814.33,585.67,3,"2,443.00","1,757.00",-686
3/31/2015,Bikes,"1,035.50",710,2,"2,071.00","1,420.00",-651
3/31/2015,Bikes,"2,182.00","2,613.00",1,"2,182.00","2,613.00",431
3/31/2015,Bikes,"2,071.00","1,865.00",1,"2,071.00","1,865.00",-206
3/31/2015,Bikes,"2,443.00","2,492.00",1,"2,443.00","2,492.00",49
4/1/2015,Bikes,"2,182.00","2,932.00",1,"2,182.00","2,932.00",750
4/1/2015,Bikes,391.5,429,2,783,858,75
4/1/2015,Bikes,"1,091.00",793,2,"2,182.00","1,586.00",-596
4/1/2015,Bikes,"1,035.50","1,162.50",2,"2,071.00","2,325.00",254
4/1/2015,Bikes,"2,443.00","2,666.00",1,"2,443.00","2,666.00",223
4/2/2015,Bikes,683,602.67,3,"2,049.00","1,808.00",-241
4/2/2015,Bikes,727.33,649.33,3,"2,182.00","1,948.00",-234
4/2/2015,Bikes,683,560.67,3,"2,049.00","1,682.00",-367
4/3/2015,Bikes,"2,182.00","1,863.00",1,"2,182.00","1,863.00",-319
4/4/2015,Bikes,"1,000.00",891,1,"1,000.00",891,-109
4/4/2015,Bikes,391.5,318,2,783,636,-147
4/4/2015,Bikes,"1,000.00",864,1,"1,000.00",864,-136
4/4/2015,Bikes,727.33,565,3,"2,182.00","1,695.00",-487
4/4/2015,Bikes,"2,443.00","1,674.00",1,"2,443.00","1,674.00",-769
4/4/2015,Bikes,"2,049.00","2,203.00",1,"2,049.00","2,203.00",154
4/5/2015,Bikes,683,560.67,3,"2,049.00","1,682.00",-367
4/5/2015,Bikes,"1,000.00",922,1,"1,000.00",922,-78
4/5/2015,Bikes,"1,035.50",981.5,2,"2,071.00","1,963.00",-108
4/5/2015,Bikes,"2,049.00","1,868.00",1,"2,049.00","1,868.00",-181
4/7/2015,Bikes,783,760,1,783,760,-23
4/8/2015,Bikes,"1,091.00","1,214.00",2,"2,182.00","2,428.00",246
4/8/2015,Bikes,683,707.67,3,"2,049.00","2,123.00",74
4/8/2015,Bikes,"2,071.00","2,386.00",1,"2,071.00","2,386.00",315
4/9/2015,Bikes,"1,091.00",993.5,2,"2,182.00","1,987.00",-195
4/9/2015,Bikes,"1,091.00","1,069.00",2,"2,182.00","2,138.00",-44
4/9/2015,Bikes,"2,071.00","2,430.00",1,"2,071.00","2,430.00",359
4/10/2015,Bikes,"2,049.00","2,267.00",1,"2,049.00","2,267.00",218
4/11/2015,Bikes,690.33,772.33,3,"2,071.00","2,317.00",246
4/11/2015,Bikes,"2,049.00","1,829.00",1,"2,049.00","1,829.00",-220
4/11/2015,Bikes,333.33,265.33,3,"1,000.00",796,-204
4/11/2015,Bikes,391.5,349.5,2,783,699,-84
4/11/2015,Bikes,683,788.67,3,"2,049.00","2,366.00",317
4/13/2015,Bikes,"2,049.00","2,532.00",1,"2,049.00","2,532.00",483
4/14/2015,Bikes,261,338.33,3,783,"1,015.00",232
4/14/2015,Bikes,"2,071.00","2,292.00",1,"2,071.00","2,292.00",221
4/15/2015,Bikes,"1,000.00",874,1,"1,000.00",874,-126
4/15/2015,Bikes,"1,035.50",894,2,"2,071.00","1,788.00",-283
4/16/2015,Bikes,"2,443.00","2,925.00",1,"2,443.00","2,925.00",482
4/16/2015,Bikes,"1,091.00",823,2,"2,182.00","1,646.00",-536
4/16/2015,Bikes,"1,035.50",934,2,"2,071.00","1,868.00",-203
4/17/2015,Bikes,"2,443.00","2,574.00",1,"2,443.00","2,574.00",131
4/18/2015,Bikes,"2,049.00","2,385.00",1,"2,049.00","2,385.00",336
4/18/2015,Bikes,"1,035.50","1,043.50",2,"2,071.00","2,087.00",16
4/19/2015,Bikes,391.5,440,2,783,880,97
4/19/2015,Bikes,783,910,1,783,910,127
4/20/2015,Bikes,690.33,518.33,3,"2,071.00","1,555.00",-516
4/20/2015,Bikes,727.33,898,3,"2,182.00","2,694.00",512
4/20/2015,Bikes,261,255,3,783,765,-18
4/21/2015,Bikes,"1,000.00",847,1,"1,000.00",847,-153
4/22/2015,Bikes,333.33,296,3,"1,000.00",888,-112
4/23/2015,Bikes,261,282.67,3,783,848,65
4/24/2015,Bikes,727.33,708,3,"2,182.00","2,124.00",-58
4/25/2015,Bikes,"1,024.50",708,2,"2,049.00","1,416.00",-633
4/25/2015,Bikes,391.5,360,2,783,720,-63
4/28/2015,Bikes,"2,182.00","1,842.00",1,"2,182.00","1,842.00",-340
4/29/2015,Bikes,"1,091.00","1,047.50",2,"2,182.00","2,095.00",-87
4/30/2015,Bikes,"1,024.50","1,077.00",2,"2,049.00","2,154.00",105
4/30/2015,Bikes,683,750,3,"2,049.00","2,250.00",201
4/30/2015,Bikes,814.33,977,3,"2,443.00","2,931.00",488
5/1/2015,Bikes,690.33,623,3,"2,071.00","1,869.00",-202
5/1/2015,Bikes,690.33,866.33,3,"2,071.00","2,599.00",528
5/1/2015,Bikes,261,257,3,783,771,-12
5/1/2015,Bikes,690.33,732,3,"2,071.00","2,196.00",125
5/2/2015,Bikes,261,248.33,3,783,745,-38
5/2/2015,Bikes,"2,182.00","2,384.00",1,"2,182.00","2,384.00",202
5/2/2015,Bikes,"2,071.00","1,869.00",1,"2,071.00","1,869.00",-202
5/3/2015,Bikes,500,542,2,"1,000.00","1,084.00",84
5/4/2015,Bikes,"1,024.50","1,022.50",2,"2,049.00","2,045.00",-4
5/5/2015,Bikes,333.33,408,3,"1,000.00","1,224.00",224
5/5/2015,Bikes,"1,035.50",775.5,2,"2,071.00","1,551.00",-520
5/5/2015,Bikes,727.33,584.33,3,"2,182.00","1,753.00",-429
5/5/2015,Bikes,333.33,249.67,3,"1,000.00",749,-251
5/5/2015,Bikes,500,505,2,"1,000.00","1,010.00",10
5/5/2015,Bikes,391.5,389,2,783,778,-5
5/5/2015,Bikes,"1,024.50",866,2,"2,049.00","1,732.00",-317
5/5/2015,Bikes,"2,049.00","1,965.00",1,"2,049.00","1,965.00",-84
5/6/2015,Bikes,391.5,357,2,783,714,-69
5/6/2015,Bikes,"2,049.00","2,617.00",1,"2,049.00","2,617.00",568
5/7/2015,Bikes,683,522,3,"2,049.00","1,566.00",-483
5/7/2015,Bikes,"2,182.00","2,108.00",1,"2,182.00","2,108.00",-74
5/8/2015,Bikes,"2,049.00","2,435.00",1,"2,049.00","2,435.00",386
5/8/2015,Bikes,683,712.33,3,"2,049.00","2,137.00",88
5/8/2015,Bikes,"2,071.00","2,000.00",1,"2,071.00","2,000.00",-71
5/9/2015,Bikes,500,465.5,2,"1,000.00",931,-69
5/9/2015,Bikes,727.33,908.33,3,"2,182.00","2,725.00",543
5/9/2015,Bikes,500,451.5,2,"1,000.00",903,-97
5/10/2015,Bikes,690.33,642.67,3,"2,071.00","1,928.00",-143
5/10/2015,Bikes,"1,091.00","1,038.00",2,"2,182.00","2,076.00",-106
5/11/2015,Bikes,"1,024.50","1,049.00",2,"2,049.00","2,098.00",49
5/11/2015,Bikes,333.33,282.67,3,"1,000.00",848,-152
5/11/2015,Bikes,690.33,852.67,3,"2,071.00","2,558.00",487
5/12/2015,Bikes,"2,443.00","3,009.00",1,"2,443.00","3,009.00",566
5/13/2015,Bikes,690.33,754,3,"2,071.00","2,262.00",191
5/14/2015,Bikes,"2,049.00","1,942.00",1,"2,049.00","1,942.00",-107
5/16/2015,Bikes,333.33,313.67,3,"1,000.00",941,-59
5/16/2015,Bikes,"1,091.00","1,407.00",2,"2,182.00","2,814.00",632
5/16/2015,Bikes,500,459.5,2,"1,000.00",919,-81
5/17/2015,Bikes,"2,049.00","1,454.00",1,"2,049.00","1,454.00",-595
5/17/2015,Bikes,690.33,634.67,3,"2,071.00","1,904.00",-167
5/18/2015,Bikes,"1,221.50",835.5,2,"2,443.00","1,671.00",-772
5/19/2015,Bikes,"1,024.50","1,239.50",2,"2,049.00","2,479.00",430
5/19/2015,Bikes,"1,221.50","1,113.00",2,"2,443.00","2,226.00",-217
5/20/2015,Bikes,500,449.5,2,"1,000.00",899,-101
5/20/2015,Bikes,"1,035.50","1,024.50",2,"2,071.00","2,049.00",-22
5/20/2015,Bikes,391.5,386.5,2,783,773,-10
5/20/2015,Bikes,"2,049.00","1,787.00",1,"2,049.00","1,787.00",-262
5/20/2015,Bikes,"1,035.50","1,006.00",2,"2,071.00","2,012.00",-59
5/21/2015,Bikes,683,572.33,3,"2,049.00","1,717.00",-332
5/21/2015,Bikes,783,933,1,783,933,150
5/21/2015,Bikes,"2,182.00","1,938.00",1,"2,182.00","1,938.00",-244
5/21/2015,Bikes,"1,035.50","1,101.00",2,"2,071.00","2,202.00",131
5/21/2015,Bikes,"1,024.50",877.5,2,"2,049.00","1,755.00",-294
5/22/2015,Bikes,683,692,3,"2,049.00","2,076.00",27
5/22/2015,Bikes,500,466,2,"1,000.00",932,-68
5/22/2015,Bikes,333.33,288.33,3,"1,000.00",865,-135
5/23/2015,Bikes,727.33,852.33,3,"2,182.00","2,557.00",375
5/23/2015,Bikes,"2,049.00","2,371.00",1,"2,049.00","2,371.00",322
5/23/2015,Bikes,"2,049.00","1,939.00",1,"2,049.00","1,939.00",-110
5/24/2015,Bikes,"2,049.00","1,970.00",1,"2,049.00","1,970.00",-79
5/24/2015,Bikes,783,714,1,783,714,-69
5/24/2015,Bikes,"2,182.00","2,503.00",1,"2,182.00","2,503.00",321
5/25/2015,Bikes,"1,091.00","1,004.50",2,"2,182.00","2,009.00",-173
5/26/2015,Bikes,"2,049.00","1,957.00",1,"2,049.00","1,957.00",-92
5/26/2015,Bikes,"2,049.00","1,916.00",1,"2,049.00","1,916.00",-133
5/26/2015,Bikes,"1,035.50",973.5,2,"2,071.00","1,947.00",-124
5/27/2015,Bikes,783,746,1,783,746,-37
5/27/2015,Bikes,"2,071.00","2,411.00",1,"2,071.00","2,411.00",340
5/27/2015,Bikes,"2,049.00","2,022.00",1,"2,049.00","2,022.00",-27
5/28/2015,Bikes,261,237.33,3,783,712,-71
5/30/2015,Bikes,"2,182.00","1,583.00",1,"2,182.00","1,583.00",-599
5/30/2015,Bikes,333.33,420.33,3,"1,000.00","1,261.00",261
5/31/2015,Bikes,683,745.33,3,"2,049.00","2,236.00",187
5/31/2015,Bikes,690.33,661.67,3,"2,071.00","1,985.00",-86
6/1/2015,Bikes,"2,182.00","2,443.00",1,"2,182.00","2,443.00",261
6/1/2015,Bikes,261,169,3,783,507,-276
6/1/2015,Bikes,783,713,1,783,713,-70
6/1/2015,Bikes,814.33,813.33,3,"2,443.00","2,440.00",-3
6/1/2015,Bikes,333.33,333,3,"1,000.00",999,-1
6/2/2015,Bikes,"1,024.50","1,037.50",2,"2,049.00","2,075.00",26
6/2/2015,Bikes,783,707,1,783,707,-76
6/2/2015,Bikes,"1,035.50","1,368.50",2,"2,071.00","2,737.00",666
6/2/2015,Bikes,"1,035.50",674.5,2,"2,071.00","1,349.00",-722
6/2/2015,Bikes,"2,049.00","1,605.00",1,"2,049.00","1,605.00",-444
6/2/2015,Bikes,"1,024.50","1,005.00",2,"2,049.00","2,010.00",-39
6/2/2015,Bikes,500,492.5,2,"1,000.00",985,-15
6/2/2015,Bikes,683,644.33,3,"2,049.00","1,933.00",-116
6/3/2015,Bikes,"1,035.50",996.5,2,"2,071.00","1,993.00",-78
6/4/2015,Bikes,261,246.33,3,783,739,-44
6/4/2015,Bikes,683,783.67,3,"2,049.00","2,351.00",302
6/5/2015,Bikes,"2,049.00","1,555.00",1,"2,049.00","1,555.00",-494
6/6/2015,Bikes,"1,035.50",948,2,"2,071.00","1,896.00",-175
6/7/2015,Bikes,"2,182.00","2,663.00",1,"2,182.00","2,663.00",481
6/7/2015,Bikes,333.33,341.33,3,"1,000.00","1,024.00",24
6/7/2015,Bikes,"2,049.00","1,697.00",1,"2,049.00","1,697.00",-352
6/8/2015,Bikes,"1,091.00",961,2,"2,182.00","1,922.00",-260
6/8/2015,Bikes,"2,071.00","2,211.00",1,"2,071.00","2,211.00",140
6/8/2015,Bikes,727.33,518.33,3,"2,182.00","1,555.00",-627
6/8/2015,Bikes,"2,049.00","2,379.00",1,"2,049.00","2,379.00",330
6/8/2015,Bikes,783,622,1,783,622,-161
6/8/2015,Bikes,"1,091.00","1,039.00",2,"2,182.00","2,078.00",-104
6/8/2015,Bikes,"2,049.00","1,870.00",1,"2,049.00","1,870.00",-179
6/9/2015,Bikes,690.33,591.67,3,"2,071.00","1,775.00",-296
6/10/2015,Bikes,"2,071.00","1,811.00",1,"2,071.00","1,811.00",-260
6/10/2015,Bikes,261,228.33,3,783,685,-98
6/10/2015,Bikes,"2,049.00","1,963.00",1,"2,049.00","1,963.00",-86
6/10/2015,Bikes,690.33,579.33,3,"2,071.00","1,738.00",-333
6/11/2015,Bikes,690.33,762.33,3,"2,071.00","2,287.00",216
6/11/2015,Bikes,"1,024.50","1,255.00",2,"2,049.00","2,510.00",461
6/11/2015,Bikes,690.33,740,3,"2,071.00","2,220.00",149
6/12/2015,Bikes,"2,443.00","2,205.00",1,"2,443.00","2,205.00",-238
6/12/2015,Bikes,"2,071.00","2,377.00",1,"2,071.00","2,377.00",306
6/13/2015,Bikes,"1,035.50","1,123.50",2,"2,071.00","2,247.00",176
6/13/2015,Bikes,690.33,681,3,"2,071.00","2,043.00",-28
6/14/2015,Bikes,690.33,738,3,"2,071.00","2,214.00",143
6/14/2015,Bikes,"2,182.00","2,535.00",1,"2,182.00","2,535.00",353
6/14/2015,Bikes,690.33,658.67,3,"2,071.00","1,976.00",-95
6/15/2015,Bikes,"1,035.50","1,296.00",2,"2,071.00","2,592.00",521
6/15/2015,Bikes,"1,221.50",961,2,"2,443.00","1,922.00",-521
6/15/2015,Bikes,783,720,1,783,720,-63
6/15/2015,Bikes,783,670,1,783,670,-113
6/16/2015,Bikes,500,371.5,2,"1,000.00",743,-257
6/16/2015,Bikes,333.33,248.67,3,"1,000.00",746,-254
6/17/2015,Bikes,"2,049.00","1,892.00",1,"2,049.00","1,892.00",-157
6/17/2015,Bikes,690.33,795.33,3,"2,071.00","2,386.00",315
6/17/2015,Bikes,500,582,2,"1,000.00","1,164.00",164
6/17/2015,Bikes,783,796,1,783,796,13
6/17/2015,Bikes,690.33,609,3,"2,071.00","1,827.00",-244
