Product Category,Sub Category,Unit Cost,Unit Price
Bikes,Mountain Bikes,690.33,772.33
Bikes,Mountain Bikes,"2,049.00","1,829.00"
Bikes,Road Bikes,333.33,265.33
Bikes,Road Bikes,391.5,349.5
Bikes,Mountain Bikes,683,788.67
Bikes,Mountain Bikes,"2,049.00","2,532.00"
Bikes,Road Bikes,261,338.33
Bikes,Mountain Bikes,"2,071.00","2,292.00"
Bikes,Road Bikes,"1,000.00",874
Bikes,Mountain Bikes,"1,035.50",894
Bikes,Road Bikes,"2,443.00","2,925.00"
Bikes,Road Bikes,"1,091.00",823
Bikes,Mountain Bikes,"1,035.50",934
Bikes,Road Bikes,"2,443.00","2,574.00"
Bikes,Mountain Bikes,"2,049.00","2,385.00"
Bikes,Mountain Bikes,"1,035.50","1,043.50"
Bikes,Road Bikes,391.5,440
Bikes,Road Bikes,783,910
Bikes,Mountain Bikes,690.33,518.33
Bikes,Road Bikes,727.33,898
Bikes,Road Bikes,261,255
Bikes,Road Bikes,"1,000.00",847
Bikes,Road Bikes,333.33,296
Bikes,Road Bikes,261,282.67
Bikes,Road Bikes,727.33,708
Bikes,Mountain Bikes,"1,024.50",708
Bikes,Road Bikes,391.5,360
Bikes,Road Bikes,"2,182.00","1,842.00"
Bikes,Road Bikes,"1,091.00","1,047.50"
Bikes,Mountain Bikes,"1,024.50","1,077.00"
Bikes,Mountain Bikes,683,750
Bikes,Road Bikes,814.33,977
Bikes,Mountain Bikes,690.33,623
Bikes,Mountain Bikes,690.33,866.33
Bikes,Road Bikes,261,257
Bikes,Mountain Bikes,690.33,732
Bikes,Road Bikes,261,248.33
Bikes,Road Bikes,"2,182.00","2,384.00"
Bikes,Mountain Bikes,"2,071.00","1,869.00"
Bikes,Road Bikes,500,542
Bikes,Mountain Bikes,"1,024.50","1,022.50"
Bikes,Road Bikes,333.33,408
Bikes,Mountain Bikes,"1,035.50",775.5
Bikes,Road Bikes,727.33,584.33
Bikes,Road Bikes,333.33,249.67
Bikes,Road Bikes,500,505
Bikes,Road Bikes,391.5,389
Bikes,Mountain Bikes,"1,024.50",866
Bikes,Mountain Bikes,"2,049.00","1,965.00"
Bikes,Road Bikes,391.5,357
Bikes,Mountain Bikes,"2,049.00","2,617.00"
Bikes,Mountain Bikes,683,522
Bikes,Road Bikes,"2,182.00","2,108.00"
Bikes,Mountain Bikes,"2,049.00","2,435.00"
Bikes,Mountain Bikes,683,712.33
Bikes,Mountain Bikes,"2,071.00","2,000.00"
Bikes,Road Bikes,500,465.5
Bikes,Road Bikes,727.33,908.33
Bikes,Road Bikes,500,451.5
Bikes,Mountain Bikes,690.33,642.67
Bikes,Road Bikes,"1,091.00","1,038.00"
Bikes,Mountain Bikes,"1,024.50","1,049.00"
Bikes,Road Bikes,333.33,282.67
Bikes,Mountain Bikes,690.33,852.67
Bikes,Road Bikes,"2,443.00","3,009.00"
Bikes,Mountain Bikes,690.33,754
Bikes,Mountain Bikes,"2,049.00","1,942.00"
Bikes,Road Bikes,333.33,313.67
Bikes,Road Bikes,"1,091.00","1,407.00"
Bikes,Road Bikes,500,459.5
Bikes,Mountain Bikes,"2,049.00","1,454.00"
Bikes,Mountain Bikes,690.33,634.67
Bikes,Road Bikes,"1,221.50",835.5
Bikes,Mountain Bikes,"1,024.50","1,239.50"
Bikes,Road Bikes,"1,221.50","1,113.00"
Bikes,Road Bikes,500,449.5
Bikes,Mountain Bikes,"1,035.50","1,024.50"
Bikes,Road Bikes,391.5,386.5
Bikes,Mountain Bikes,"2,049.00","1,787.00"
Bikes,Mountain Bikes,"1,035.50","1,006.00"
Bikes,Mountain Bikes,683,572.33
Bikes,Road Bikes,783,933
Bikes,Road Bikes,"2,182.00","1,938.00"
Bikes,Mountain Bikes,"1,035.50","1,101.00"
Bikes,Mountain Bikes,"1,024.50",877.5
Bikes,Mountain Bikes,683,692
Bikes,Road Bikes,500,466
Bikes,Road Bikes,333.33,288.33
Bikes,Road Bikes,727.33,852.33
Bikes,Mountain Bikes,"2,049.00","2,371.00"
Bikes,Mountain Bikes,"2,049.00","1,939.00"
Bikes,Mountain Bikes,"2,049.00","1,970.00"
Bikes,,783,714
Bikes,Road Bikes,"2,182.00","2,503.00"
Bikes,Road Bikes,"1,091.00","1,004.50"
Bikes,Mountain Bikes,"2,049.00","1,957.00"
Bikes,Mountain Bikes,"2,049.00","1,916.00"
Bikes,Mountain Bikes,"1,035.50",973.5
Bikes,Road Bikes,783,746
Bikes,Mountain Bikes,"2,071.00","2,411.00"
Bikes,Mountain Bikes,"2,049.00","2,022.00"
Bikes,Road Bikes,261,237.33
Bikes,Road Bikes,"2,182.00","1,583.00"
Bikes,Road Bikes,333.33,420.33
Bikes,Mountain Bikes,683,745.33
Bikes,Mountain Bikes,690.33,661.67
Bikes,Road Bikes,"2,182.00","2,443.00"
Bikes,Road Bikes,261,169
Bikes,Road Bikes,783,713
Bikes,Road Bikes,814.33,813.33
Bikes,Road Bikes,333.33,333
Bikes,Mountain Bikes,"1,024.50","1,037.50"
Bikes,Road Bikes,783,707
Bikes,Mountain Bikes,"1,035.50","1,368.50"
Bikes,Mountain Bikes,"1,035.50",674.5
Bikes,Mountain Bikes,"2,049.00","1,605.00"
Bikes,Mountain Bikes,"1,024.50","1,005.00"
Bikes,Road Bikes,500,492.5
Bikes,Mountain Bikes,683,644.33
Bikes,Mountain Bikes,"1,035.50",996.5
Bikes,Road Bikes,261,246.33
Bikes,Mountain Bikes,683,783.67
Bikes,Mountain Bikes,"2,049.00","1,555.00"
Bikes,Mountain Bikes,"1,035.50",948
Bikes,Road Bikes,"2,182.00","2,663.00"
Bikes,Road Bikes,333.33,341.33
Bikes,Mountain Bikes,"2,049.00","1,697.00"
Bikes,Road Bikes,"1,091.00",961
Bikes,Mountain Bikes,"2,071.00","2,211.00"
Bikes,Road Bikes,727.33,518.33
Bikes,Mountain Bikes,"2,049.00","2,379.00"
Bikes,Road Bikes,783,622
Bikes,Road Bikes,"1,091.00","1,039.00"
Bikes,Mountain Bikes,"2,049.00","1,870.00"
Bikes,Mountain Bikes,690.33,591.67
Bikes,Mountain Bikes,"2,071.00","1,811.00"
Bikes,Road Bikes,261,228.33
Bikes,Mountain Bikes,"2,049.00","1,963.00"
Bikes,Mountain Bikes,690.33,579.33
Bikes,Mountain Bikes,690.33,762.33
Bikes,Mountain Bikes,"1,024.50","1,255.00"
Bikes,Mountain Bikes,690.33,740
Bikes,Road Bikes,"2,443.00","2,205.00"
Bikes,Mountain Bikes,"2,071.00","2,377.00"
Bikes,Mountain Bikes,"1,035.50","1,123.50"
Bikes,Mountain Bikes,690.33,681
Bikes,Mountain Bikes,690.33,738
Bikes,Road Bikes,"2,182.00","2,535.00"
Bikes,Mountain Bikes,690.33,658.67
Bikes,Mountain Bikes,"1,035.50","1,296.00"
Bikes,Road Bikes,"1,221.50",961
Bikes,Road Bikes,783,720
Bikes,Road Bikes,783,670
Bikes,Road Bikes,500,371.5
Bikes,Road Bikes,333.33,248.67
Bikes,Mountain Bikes,"2,049.00","1,892.00"
Bikes,Mountain Bikes,690.33,795.33
Bikes,Road Bikes,500,582
Bikes,Road Bikes,783,796
Bikes,Mountain Bikes,690.33,609
Bikes,Mountain Bikes,690.33,680
Bikes,Mountain Bikes,690.33,744.33
Bikes,Road Bikes,727.33,707.67
Bikes,Road Bikes,"2,182.00","2,019.00"
Bikes,Road Bikes,"1,000.00","1,029.00"
Bikes,Road Bikes,"2,182.00","1,441.00"
Bikes,Mountain Bikes,"1,024.50","1,051.50"
Bikes,Road Bikes,814.33,545.33
Bikes,Mountain Bikes,690.33,622.33
Bikes,Road Bikes,783,705
Bikes,Road Bikes,"2,443.00","2,314.00"
Bikes,Road Bikes,261,284.33
Bikes,Road Bikes,391.5,400.5
Bikes,Road Bikes,333.33,333
Bikes,Road Bikes,"2,443.00","2,554.00"
Bikes,Road Bikes,391.5,407
Bikes,Mountain Bikes,"1,024.50",885.5
Bikes,Road Bikes,"1,000.00","1,136.00"
Bikes,Mountain Bikes,690.33,649.33
Bikes,Road Bikes,"1,221.50","1,098.50"
Bikes,Mountain Bikes,"2,049.00","1,983.00"
Bikes,Road Bikes,391.5,331.5
Bikes,Mountain Bikes,"2,049.00","2,328.00"
Bikes,Mountain Bikes,690.33,572.67
Bikes,Road Bikes,391.5,353.5
Bikes,Mountain Bikes,"1,035.50","1,142.50"
Bikes,Mountain Bikes,"1,024.50",981
Bikes,Road Bikes,"1,221.50","1,290.50"
Bikes,Mountain Bikes,"1,035.50",786
Bikes,Road Bikes,261,242.33
Bikes,Mountain Bikes,683,691.33
Bikes,Mountain Bikes,"2,049.00","2,081.00"
Bikes,Road Bikes,814.33,776
Bikes,Road Bikes,"2,182.00","2,333.00"
Bikes,Mountain Bikes,"2,049.00","2,185.00"
Bikes,Mountain Bikes,"1,024.50","1,054.50"
Bikes,Road Bikes,391.5,401.5
Bikes,Road Bikes,391.5,328.5
Bikes,Road Bikes,500,480
Bikes,Mountain Bikes,683,685.33
Bikes,Mountain Bikes,"1,024.50","1,001.00"
Bikes,Mountain Bikes,683,628
Bikes,Mountain Bikes,"2,071.00","1,959.00"
Bikes,Mountain Bikes,"1,035.50","1,192.00"
Accessories,Bottles and Cages,25,33.5
Accessories,Bottles and Cages,46.67,59
Accessories,Tires and Tubes,280,310.33
Accessories,Tires and Tubes,150,153
Accessories,Tires and Tubes,391,552.5
Accessories,Tires and Tubes,16,22.67
Accessories,Bike Stands,424,435
Bikes,Road Bikes,814.33,994.33
Bikes,Road Bikes,"2,443.00","1,801.00"
Accessories,Tires and Tubes,28,23
Accessories,Tires and Tubes,239,349.67
Accessories,Helmets,70,92
Bikes,Mountain Bikes,"1,160.00","1,305.00"
Bikes,Road Bikes,180,203.33
Accessories,Helmets,315,353
Bikes,Mountain Bikes,"2,295.00","2,646.00"
Accessories,Bottles and Cages,230,311
Accessories,Bottles and Cages,20,26
Accessories,Tires and Tubes,76,80
Accessories,Tires and Tubes,650,716
Bikes,Mountain Bikes,"2,295.00","2,336.00"
Bikes,Mountain Bikes,773.33,908.67
Accessories,Bottles and Cages,30,40
Accessories,Bottles and Cages,17.5,23.5
Accessories,Helmets,186.67,265
Bikes,Road Bikes,560,644.5
Clothing,Caps,31.5,41.5
Clothing,Jerseys,54,67
Clothing,Caps,45,46
Bikes,Mountain Bikes,565,518
Accessories,Tires and Tubes,85,97
Accessories,Tires and Tubes,130.5,138
Bikes,Mountain Bikes,765,746.33
Clothing,Socks,3,3.33
Bikes,Mountain Bikes,"1,147.50","1,024.00"
Accessories,Helmets,402.5,412
Accessories,Tires and Tubes,37,41
Bikes,Mountain Bikes,"1,160.00","1,340.50"
Accessories,Tires and Tubes,35,36
Accessories,Hydration Packs,"1,045.00","1,434.00"
Clothing,Caps,270,302
Bikes,Touring Bikes,794.67,908
Bikes,Road Bikes,814.33,862
Accessories,Tires and Tubes,978,"1,123.00"
Accessories,Bottles and Cages,39,50.67
Accessories,Bottles and Cages,65,87
Accessories,Helmets,11.67,16.33
Clothing,Caps,45,49
Bikes,Mountain Bikes,"2,320.00","2,664.00"
Accessories,Bottles and Cages,35,42.67
Accessories,Bottles and Cages,30,35
Accessories,Tires and Tubes,268.5,306.5
Accessories,Tires and Tubes,88,102
Accessories,Helmets,455,480
Bikes,Mountain Bikes,"1,147.50","1,108.00"
Accessories,Bottles and Cages,105,138
Accessories,Bottles and Cages,55,80.5
Accessories,Cleaners,231,273
Bikes,Touring Bikes,"1,192.00","1,342.50"
Accessories,Bottles and Cages,144,192
Accessories,Bottles and Cages,45,46
Accessories,Helmets,490,517.5
Clothing,Caps,4.5,5
Bikes,Road Bikes,"2,443.00","2,516.00"
Bikes,Road Bikes,"2,443.00","2,253.00"
Accessories,Tires and Tubes,24,23
Accessories,Tires and Tubes,489,491
Bikes,Touring Bikes,607.5,552.5
Clothing,Jerseys,621,664
Bikes,Mountain Bikes,"2,295.00","1,630.00"
Accessories,Bottles and Cages,43.33,52.33
Accessories,Bottles and Cages,145,204
Clothing,Jerseys,108,100
Bikes,Mountain Bikes,765,784.33
Bikes,Mountain Bikes,"1,147.50","1,084.50"
Accessories,Helmets,402.5,491
Clothing,Caps,36,39
Accessories,Tires and Tubes,375,442.5
Accessories,Helmets,455,622
Bikes,Road Bikes,"1,221.50","1,333.00"
Bikes,Mountain Bikes,"2,320.00","2,340.00"
Bikes,Mountain Bikes,"1,160.00","1,253.00"
Bikes,Mountain Bikes,"1,160.00","1,388.50"
Accessories,Bottles and Cages,125,163
Bikes,Road Bikes,373.33,409.67
Accessories,Helmets,420,538.5
Accessories,Tires and Tubes,279.5,371
Accessories,Tires and Tubes,24,35
Accessories,Helmets,87.5,103.5
Accessories,Cleaners,28,31.5
Bikes,Mountain Bikes,"1,160.00",799.5
Bikes,Mountain Bikes,"1,160.00",942
Accessories,Bottles and Cages,55,47.5
Accessories,Bottles and Cages,30,29
Accessories,Helmets,198.33,283.67
Accessories,Tires and Tubes,145,173
Bikes,Touring Bikes,"1,192.00","1,178.50"
Bikes,Road Bikes,180,239.67
Accessories,Bottles and Cages,13.5,13
Accessories,Bottles and Cages,57.5,81.5
Accessories,Tires and Tubes,8.33,8.67
Accessories,Bottles and Cages,23.33,27.33
Accessories,Bottles and Cages,20,23.5
Accessories,Helmets,192.5,203
Bikes,Mountain Bikes,"2,320.00","2,196.00"
Bikes,Mountain Bikes,256.33,305.33
Accessories,Bottles and Cages,300,378
Accessories,Helmets,233.33,326.33
Bikes,Mountain Bikes,180,188
Clothing,Jerseys,324,337
Bikes,Mountain Bikes,"2,320.00","2,548.00"
Accessories,Cleaners,71.5,81
Bikes,Road Bikes,814.33,681
Bikes,Road Bikes,"1,120.00",997
Clothing,Jerseys,459,469.5
Accessories,Tires and Tubes,40,46
Accessories,Tires and Tubes,291.67,326.67
Accessories,Helmets,350,387
Accessories,Tires and Tubes,559,642
Bikes,Road Bikes,"2,443.00","3,095.00"
Bikes,Road Bikes,"1,221.50","1,042.00"
Accessories,Tires and Tubes,8,6
Accessories,Tires and Tubes,309.5,395.5
Accessories,Tires and Tubes,22,25.5
Accessories,Bottles and Cages,20,26.33
Clothing,Vests,349.5,452
Accessories,Bottles and Cages,31.67,42.67
Bikes,Mountain Bikes,"2,295.00","2,286.00"
Bikes,Mountain Bikes,"2,295.00","2,557.00"
Bikes,Mountain Bikes,384.5,406
Clothing,Jerseys,700,922
Bikes,Mountain Bikes,765,675.33
Bikes,Mountain Bikes,"1,147.50","1,003.00"
Accessories,Hydration Packs,825,959
Bikes,Road Bikes,373.33,355
Accessories,Tires and Tubes,525,700
Bikes,Mountain Bikes,"1,160.00","1,043.00"
Accessories,Bottles and Cages,130,141
Accessories,Bottles and Cages,5,5.5
Accessories,Cleaners,111.5,126.5
Bikes,Road Bikes,567,475.67
Bikes,Mountain Bikes,"2,295.00","2,124.00"
Bikes,Road Bikes,180,213.33
Bikes,Mountain Bikes,180,170.33
Bikes,Road Bikes,270,246.5
Bikes,Mountain Bikes,384.5,353.5
Bikes,Mountain Bikes,"1,147.50","1,077.00"
Bikes,Mountain Bikes,"2,295.00","2,218.00"
Accessories,Tires and Tubes,115,135
Accessories,Tires and Tubes,140,160
Accessories,Helmets,350,313.5
Bikes,Touring Bikes,247.33,235
Accessories,Helmets,17.5,19
Bikes,Mountain Bikes,"2,320.00","2,155.00"
Bikes,Mountain Bikes,773.33,771.33
Accessories,Helmets,233.33,325.33
Accessories,Bottles and Cages,36.67,32
Accessories,Bottles and Cages,126,93
Bikes,Road Bikes,"2,443.00","1,964.00"
Bikes,Road Bikes,"2,443.00","2,206.00"
Accessories,Helmets,175,176.67
Accessories,Helmets,128.33,153
Clothing,Caps,126,148
Clothing,Shorts,70,77.67
Clothing,Vests,148.33,163
Bikes,Road Bikes,"1,120.00","1,021.00"
Accessories,Cleaners,12,12
Bikes,Mountain Bikes,773.33,497.33
Bikes,Touring Bikes,742,744
Clothing,Caps,207,216
Clothing,Jerseys,166.67,174.33
Bikes,Mountain Bikes,270,303
Clothing,Caps,216,228
Accessories,Bottles and Cages,65,67
Accessories,Bottles and Cages,125,143.5
Clothing,Jerseys,414,437.67
Bikes,Mountain Bikes,765,712.33
Bikes,Mountain Bikes,"2,295.00","2,084.00"
Accessories,Helmets,315,359
Accessories,Helmets,630,712
Accessories,Tires and Tubes,980,"1,145.00"
Bikes,Road Bikes,"2,443.00","2,646.00"
Accessories,Tires and Tubes,65,96
Clothing,Jerseys,"1,050.00","1,037.00"
Bikes,Mountain Bikes,773.33,682
Accessories,Helmets,630,727
Bikes,Road Bikes,270,231
Bikes,Road Bikes,180,169.33
Bikes,Road Bikes,"2,443.00","2,179.00"
Accessories,Cleaners,119,170
Clothing,Jerseys,252,259
Bikes,Mountain Bikes,"2,320.00","1,946.00"
Bikes,Touring Bikes,794.67,847.33
Accessories,Bottles and Cages,40.5,57
Accessories,Bottles and Cages,17.5,25.5
Accessories,Helmets,560,779
Accessories,Helmets,910,977
Bikes,Mountain Bikes,"2,295.00","2,146.00"
Clothing,Vests,254,299.33
Bikes,Touring Bikes,742,682
Accessories,Helmets,245,298
Clothing,Jerseys,850,860
Bikes,Road Bikes,"2,443.00","2,314.00"
Bikes,Road Bikes,560,498.5
Accessories,Tires and Tubes,183.33,209
Accessories,Tires and Tubes,4.5,5.5
Bikes,Mountain Bikes,765,783
Clothing,Jerseys,400,400
Bikes,Touring Bikes,"1,192.00","1,212.00"
Clothing,Jerseys,432,524.5
Bikes,Touring Bikes,405,372.67
Accessories,Hydration Packs,82.5,88.5
Accessories,Tires and Tubes,175,205.5
Accessories,Tires and Tubes,38,43.5
Accessories,Tires and Tubes,6,7
Bikes,Mountain Bikes,765,937.67
Bikes,Road Bikes,850.5,855
Accessories,Helmets,87.5,115.5
Clothing,Caps,22.5,21
Accessories,Bottles and Cages,10,12
Accessories,Tires and Tubes,35,45.33
Accessories,Helmets,186.67,267
Accessories,Tires and Tubes,20,22.67
Accessories,Tires and Tubes,13.33,14.33
Accessories,Tires and Tubes,65,72
